date,year,month,day,so2,nox,o3,pm2.5,pm10,co,aqi_pm25,aqi_pm10,aqi
6/15/2014,2014,6,15,,9.737041667,20.086625,0.121125,0.0,0.151083333,0.5046875000000001,0.0,0.5046875000000001
6/16/2014,2014,6,16,,6.472916667,23.78975,0.120875,0.0,0.153958333,0.5036458333333333,0.0,0.5036458333333333
6/17/2014,2014,6,17,,,,0.122208333,0.0,0.173208333,0.5092013875,0.0,0.5092013875
6/18/2014,2014,6,18,,11.195,21.53808333,0.123583333,0.0,0.220458333,0.5149305541666667,0.0,0.5149305541666667
6/19/2014,2014,6,19,,9.223333333,31.76083333,0.125041667,0.0,0.190583333,0.5210069458333334,0.0,0.5210069458333334
6/20/2014,2014,6,20,1.790875,9.752333333,19.31795833,0.123541667,0.0,0.190916667,0.5147569458333333,0.0,0.5147569458333333
6/21/2014,2014,6,21,,7.118333333,22.54641667,0.120375,0.0,0.185875,0.5015625,0.0,0.5015625
6/22/2014,2014,6,22,,12.23745833,23.738125,0.123541667,0.0,0.240833333,0.5147569458333333,0.0,0.5147569458333333
6/23/2014,2014,6,23,2.419583333,12.576625,18.96891667,0.121375,0.0,0.213791667,0.5057291666666667,0.0,0.5057291666666667
6/24/2014,2014,6,24,4.183666667,10.90375,32.63095833,0.121458333,0.0,0.229208333,0.5060763875000001,0.0,0.5060763875000001
6/25/2014,2014,6,25,3.510541667,9.934791667,24.20558333,0.121416667,0.0,0.207083333,0.5059027791666667,0.0,0.5059027791666667
6/26/2014,2014,6,26,,10.99404167,20.27908333,0.122208333,0.0,0.225708333,0.5092013875,0.0,0.5092013875
6/27/2014,2014,6,27,,10.99541667,21.56858333,0.122125,0.0,0.251083333,0.5088541666666667,0.0,0.5088541666666667
6/28/2014,2014,6,28,1.873375,12.64175,18.57458333,0.120708333,0.0,0.229166667,0.5029513875,0.0,0.5029513875
6/29/2014,2014,6,29,,10.22379167,19.842,0.121166667,0.0,0.20575,0.5048611125000001,0.0,0.5048611125000001
6/30/2014,2014,6,30,,9.124458333,22.00204167,0.121166667,0.0,0.209416667,0.5048611125000001,0.0,0.5048611125000001
07/01/2014,2014,7,1,,10.05858333,21.72083333,0.12025,0.0,0.230958333,0.5010416666666667,0.0,0.5010416666666667
07/02/2014,2014,7,2,,13.35741667,24.89483333,0.118041667,0.0,0.223,0.4918402791666667,0.0,0.4918402791666667
07/03/2014,2014,7,3,,13.909875,27.386875,0.122041667,0.0,0.169416667,0.5085069458333334,0.0,0.5085069458333334
07/04/2014,2014,7,4,,10.46108333,27.64516667,0.121125,0.0,0.11175,0.5046875000000001,0.0,0.5046875000000001
07/05/2014,2014,7,5,3.756291667,11.52204167,26.6795,0.120666667,0.0,0.199333333,0.5027777791666668,0.0,0.5027777791666668
07/06/2014,2014,7,6,,11.9855,23.64041667,0.120083333,0.0,0.161583333,0.5003472208333334,0.0,0.5003472208333334
07/07/2014,2014,7,7,2.833166667,10.732,28.5905,0.120291667,0.0,0.205208333,0.5012152791666667,0.0,0.5012152791666667
07/08/2014,2014,7,8,,9.589083333,26.16354167,0.120791667,0.0,0.201875,0.5032986125000001,0.0,0.5032986125000001
07/09/2014,2014,7,9,8.53475,12.47883333,,0.121333333,0.0,0.248083333,0.5055555541666668,0.0,0.5055555541666668
07/10/2014,2014,7,10,,14.32179167,24.098625,0.122791667,0.0,0.224583333,0.5116319458333334,0.0,0.5116319458333334
07/11/2014,2014,7,11,2.584541667,12.19054167,25.77858333,0.120833333,0.0,0.192541667,0.5034722208333334,0.0,0.5034722208333334
07/12/2014,2014,7,12,,11.974125,25.23775,0.121875,0.0,0.224208333,0.5078125,0.0,0.5078125
7/13/2014,2014,7,13,2.513916667,12.81154167,26.48358333,0.120333333,0.0,0.119458333,0.5013888875,0.0,0.5013888875
7/14/2014,2014,7,14,,10.66358333,31.01895833,0.121541667,0.0,0.132291667,0.5064236125,0.0,0.5064236125
7/15/2014,2014,7,15,,12.3785,38.50766667,0.122833333,0.0,0.182041667,0.5118055541666667,0.0,0.5118055541666667
7/16/2014,2014,7,16,,12.39408333,29.10670833,0.122416667,0.0,0.194458333,0.5100694458333334,0.0,0.5100694458333334
